Date,Day,Time,Occupancy
17.06.2025,Tuesday,17:06,10
17.06.2025,Tuesday,17:24,10
17.06.2025,Tuesday,17:44,10
17.06.2025,Tuesday,17:56,10
17.06.2025,Tuesday,18:32,10
17.06.2025,Tuesday,18:55,10
17.06.2025,Tuesday,19:20,10
17.06.2025,Tuesday,19:43,10
17.06.2025,Tuesday,19:56,10
17.06.2025,Tuesday,20:33,10
17.06.2025,Tuesday,20:54,10
17.06.2025,Tuesday,21:16,10
17.06.2025,Tuesday,21:30,10
17.06.2025,Tuesday,21:52,10
18.06.2025,Wednesday,06:29,10
18.06.2025,Wednesday,06:52,10
18.06.2025,Wednesday,07:20,10
18.06.2025,Wednesday,07:44,10
18.06.2025,Wednesday,07:56,10
18.06.2025,Wednesday,08:34,10
18.06.2025,Wednesday,08:55,10
18.06.2025,Wednesday,09:22,5
18.06.2025,Wednesday,09:42,12
18.06.2025,Wednesday,09:56,12
18.06.2025,Wednesday,10:32,20
18.06.2025,Wednesday,10:55,20
18.06.2025,Wednesday,11:25,30
18.06.2025,Wednesday,11:44,30
18.06.2025,Wednesday,11:56,40
18.06.2025,Wednesday,12:25,40
18.06.2025,Wednesday,12:46,55
18.06.2025,Wednesday,12:57,55
18.06.2025,Wednesday,13:23,55
18.06.2025,Wednesday,13:39,55
18.06.2025,Wednesday,13:50,55
