Date,Day,Time,Occupancy
16.06.2025,Monday,08:33,0
16.06.2025,Monday,09:00,0
16.06.2025,Monday,09:30,3
16.06.2025,Monday,09:48,5
16.06.2025,Monday,09:59,5
16.06.2025,Monday,10:37,8
16.06.2025,Monday,10:56,4
16.06.2025,Monday,11:29,4
16.06.2025,Monday,11:46,3
16.06.2025,Monday,11:57,3
16.06.2025,Monday,12:30,5
16.06.2025,Monday,12:52,3
16.06.2025,Monday,13:18,3
16.06.2025,Monday,13:33,3
16.06.2025,Monday,13:46,3
16.06.2025,Monday,13:57,3
16.06.2025,Monday,14:55,4
16.06.2025,Monday,15:35,4
16.06.2025,Monday,15:54,3
16.06.2025,Monday,16:22,3
16.06.2025,Monday,16:45,3
16.06.2025,Monday,16:56,6
16.06.2025,Monday,17:26,6
